Title,Author,Genre,SubGenre,Publisher,features,Image
Social Choice & Welfare,Various,tech,economics,Springer,"Social Choice & Welfare, Vol 39 No. 1, Various, tech, economics, Springer",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392450259i/226774.jpg
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,misc,Mauj,"Radiowaril Bhashane & Shrutika, Deshpande, P L, nonfiction, misc, Mauj",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390542342i/20625709.jpg
Aghal Paghal,"Deshpande, P L",nonfiction,misc,Mauj,"Aghal Paghal, Deshpande, P L, nonfiction, misc, Mauj",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350140863i/12989372.jpg
Beyond Degrees,other,philosophy,education,HarperCollins,"Beyond Degrees, other, philosophy, education, HarperCollins",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1182769282i/1325391.jpg
Manasa,"Kale, V P",nonfiction,misc,Mauj,"Manasa, Kale, V P, nonfiction, misc, Mauj",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313677139i/12391584.jpg
Great Indian Novel,"Tharoor, Shashi",fiction,novel,Penguin,"Great Indian Novel, The, Tharoor, Shashi, fiction, novel, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599943210i/30843.jpg
O Jerusalem!,"Lapierre, Dominique",nonfiction,history,vikas,"O Jerusalem!, Lapierre, Dominique, nonfiction, history, vikas",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388500747i/77259.jpg
City of Joy,"Lapierre, Dominique",fiction,novel,vikas,"City of Joy, The, Lapierre, Dominique, fiction, novel, vikas",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389759636i/356525.jpg
Freedom at Midnight,"Lapierre, Dominique",nonfiction,history,vikas,"Freedom at Midnight, Lapierre, Dominique, nonfiction, history, vikas",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365170106i/204123.jpg
Winter of Our Discontent,"Steinbeck, John",fiction,classic,Penguin,"Winter of Our Discontent, The, Steinbeck, John, fiction, classic, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197029i/4796.jpg
On Education,"Russell, Bertrand",philosophy,education,Routledge,"On Education, Russell, Bertrand, philosophy, education, Routledge",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334836441i/326679.jpg
Free Will,"Harris, Sam",nonfiction,psychology,FreePress,"Free Will, Harris, Sam, nonfiction, psychology, FreePress",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532072045i/13259270.jpg
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,history,Penguin,"Bookless in Baghdad, Tharoor, Shashi, nonfiction, history, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348706836i/805865.jpg
Case of the Lame Canary,"Gardner, Earle Stanley",fiction,novel,other,"Case of the Lame Canary, The, Gardner, Earle Stanley, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430223342i/1347298.jpg
Theory of Everything,"Hawking, Stephen",science,physics,Jaico,"Theory of Everything, The, Hawking, Stephen, science, physics, Jaico",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415359670i/449573.jpg
New Markets & Other Essays,"Drucker, Peter",science,economics,Penguin,"New Markets & Other Essays, Drucker, Peter, science, economics, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348570496i/787719.jpg
Electric Universe,"Bodanis, David",science,physics,Penguin,"Electric Universe, Bodanis, David, science, physics, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320515039i/2803.jpg
Hunchback of Notre Dame,"Hugo, Victor",fiction,classic,Random House,"Hunchback of Notre Dame, The, Hugo, Victor, fiction, classic, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388342667i/30597.jpg
Burning Bright,"Steinbeck, John",fiction,classic,Penguin,"Burning Bright, Steinbeck, John, fiction, classic, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1638891096i/57355412.jpg
Doctor in the Nude,"Gordon, Richard",fiction,novel,Penguin,"Doctor in the Nude, Gordon, Richard, fiction, novel, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1288552117i/5337419.jpg
Down and Out in Paris & London,"Orwell, George",nonfiction,autobiography,Penguin,"Down and Out in Paris & London, Orwell, George, nonfiction, autobiography, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347697665i/393199.jpg
Identity & Violence,"Sen, Amartya",philosophy,philosophy,Penguin,"Identity & Violence, Sen, Amartya, philosophy, philosophy, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335860740i/7869.jpg
Beyond the Three Seas,"Dalrymple, William",nonfiction,history,Random House,"Beyond the Three Seas, Dalrymple, William, nonfiction, history, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310186187i/11988474.jpg
World's Greatest Short Stories,other,fiction,classic,Jaico,"World's Greatest Short Stories, The, other, fiction, classic, Jaico",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328863628i/688901.jpg
Talking Straight,"Iacoca, Lee",nonfiction,autobiography,other,"Talking Straight, Iacoca, Lee, nonfiction, autobiography, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399611i/763047.jpg
Maugham's Collected Short Stories,"Maugham, William S",fiction,classic,Vintage,"Maugham's Collected Short Stories, Vol 3, Maugham, William S, fiction, classic, Vintage",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924950i/90311.jpg
